VISIT_DATE,CONSTRUCTION_NO,STATE_CODE,STATE_CODE_EXP,VISIT_NO,RUN_NUMBER,SHRP_ID,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,IRI_CENTER_LANE,MRI
04-08-1997,1,6,California,06820106,1,8201,1.485999942,1.613999963,,1.549999952
04-14-1997,1,6,California,06264706,2,2647,1.088999987,0.950999975,,1.019999981
03-08-1992,1,6,California,06200403,3,2004,1.75,1.845999956,,1.797999978
06-10-1994,1,6,California,06125310,2,1253,1.695000052,1.975000024,,1.835000038
02-20-1991,1,6,California,06200402,4,2004,1.601999998,1.646999955,,1.623999953
12-06-1989,1,6,California,06125301,1,1253,1.59800005,1.86500001,,1.730999947
05-02-1991,1,6,California,06264702,3,2647,0.95599997,0.967999995,,0.962000012
06-10-1994,1,6,California,06125309,2,1253,1.644999981,2.003000021,,1.824000001
12-06-1989,1,6,California,06125301,4,1253,1.633000016,1.812999964,,1.72300005
03-22-1993,1,6,California,06264704,3,2647,0.943000019,0.90200001,,0.922999978
01-29-1990,1,6,California,06200401,4,2004,1.43599999,1.542999983,,1.488999963
03-22-1993,1,6,California,06264704,4,2647,0.972000003,0.910000026,,0.940999985
03-11-1992,1,6,California,06820103,3,8201,1.327999949,1.467000008,,1.396999955
02-15-1992,1,6,California,06815102,5,8151,4.228000164,0.915000021,,2.572000027
08-07-1990,1,6,California,06125302,1,1253,1.684999943,1.815000057,,1.75
03-15-1993,1,6,California,06200404,3,2004,1.904000044,2.322000027,,2.112999916
04-14-1997,1,6,California,06264706,3,2647,0.885999978,0.925000012,,0.906000018
04-10-1992,1,6,California,06125305,3,1253,1.625,1.93599999,,1.779999971
01-29-1990,1,6,California,06200401,2,2004,1.453999996,1.496999979,,1.475999951
12-16-1989,1,6,California,06264701,1,2647,0.893000007,0.902999997,,0.898000002
04-06-1993,1,6,California,06125307,4,1253,1.613999963,1.986999989,,1.799999952
03-11-1992,1,6,California,06820103,5,8201,1.343000054,1.470999956,,1.406999946
03-18-1993,1,6,California,06820104,4,8201,1.356999993,1.447000027,,1.40199995
06-13-1994,1,6,California,06264705,3,2647,0.86500001,0.916999996,,0.890999973
05-09-1991,1,6,California,06125303,3,1253,1.623000026,1.894999981,,1.758999944
05-09-1991,1,6,California,06125304,6,1253,1.592000008,1.83099997,,1.710999966
01-29-1990,1,6,California,06200401,5,2004,1.399999976,1.567000031,,1.483999968
05-02-1991,1,6,California,06264702,4,2647,0.966000021,0.964999974,,0.966000021
06-10-1994,1,6,California,06125309,3,1253,1.70599997,2.072000027,,1.889000058
11-15-2002,1,6,California,06820110,3,8201,1.578999996,1.626000047,,1.601999998
03-18-1993,1,6,California,06820104,5,8201,1.383000016,1.450999975,,1.417000055
03-18-1993,1,6,California,06820104,6,8201,1.381000042,1.476999998,,1.42900002
03-18-1993,1,6,California,06820104,3,8201,1.41900003,1.465000033,,1.442000031
02-15-1992,1,6,California,06815102,1,8151,4.334000111,1.131000042,,2.73300004
04-08-1997,1,6,California,06820106,2,8201,1.47300005,1.597000003,,1.534999967
12-04-2001,1,6,California,06264709,3,2647,1.60800004,1.330000043,,1.468999982
12-06-2001,1,6,California,06820109,4,8201,1.593000054,1.692999959,,1.643000007
12-04-2001,1,6,California,06264709,1,2647,1.672000051,1.286999941,,1.478999972
05-09-1991,1,6,California,06125303,4,1253,1.582000017,1.86500001,,1.72300005
03-08-1992,1,6,California,06200403,5,2004,1.776000023,1.934000015,,1.855000019
02-20-1991,1,6,California,06200402,2,2004,1.491000056,1.827000022,,1.659000039
03-11-1992,1,6,California,06820103,4,8201,1.350999951,1.478000045,,1.414999962
04-08-1997,1,6,California,06820106,3,8201,1.462000012,1.523000002,,1.491999984
11-21-2002,1,6,California,06264710,2,2647,1.777999997,1.399999976,,1.588999987
06-10-1994,1,6,California,06125309,4,1253,1.684999943,2.036999941,,1.860999942
06-10-1994,1,6,California,06125310,4,1253,1.639999986,2.052999973,,1.845999956
05-09-1991,1,6,California,06125303,5,1253,1.570000052,1.794999957,,1.682000041
04-13-1992,1,6,California,06125306,2,1253,1.621999979,1.909000039,,1.764999986
04-10-1992,1,6,California,06125305,5,1253,1.601999998,1.896000028,,1.748999953
04-13-1992,1,6,California,06125306,3,1253,1.613000035,1.921000004,,1.76699996
03-16-1992,1,6,California,06264703,2,2647,0.912999988,0.90200001,,0.907999992
11-21-2002,1,6,California,06264710,6,2647,1.837000012,1.447000027,,1.64199996
04-08-1997,1,6,California,06820106,5,8201,1.48300004,1.550999999,,1.51699996
05-09-1991,1,6,California,06125304,2,1253,1.636000037,1.840000033,,1.738000035
12-06-1989,1,6,California,06125301,5,1253,1.628999949,1.850999951,,1.74000001
10-04-2001,1,6,California,06125313,4,1253,1.942000031,2.499000072,,2.220000029
05-09-1991,1,6,California,06125304,5,1253,1.610999942,1.856999993,,1.733999968
01-29-1990,1,6,California,06200401,6,2004,1.375,1.531000018,,1.452999949
08-07-1990,1,6,California,06125302,3,1253,1.664999962,1.784999967,,1.725000024
06-13-1994,1,6,California,06264705,4,2647,0.837000012,0.958999991,,0.898000002
08-07-1990,1,6,California,06125302,5,1253,1.58099997,1.835999966,,1.708999991
04-13-1992,1,6,California,06125306,1,1253,1.652999997,1.871000051,,1.761999965
03-22-1993,1,6,California,06264704,2,2647,1.006999969,0.910000026,,0.958000004
04-06-1993,1,6,California,06125307,5,1253,1.58099997,1.958999991,,1.769999981
04-06-1993,1,6,California,06125308,5,1253,1.690999985,1.881999969,,1.786999941
04-06-1993,1,6,California,06125307,3,1253,1.621000051,1.97300005,,1.797000051
08-07-1990,1,6,California,06125302,6,1253,1.684999943,1.792000055,,1.738999963
04-06-1993,1,6,California,06125307,1,1253,1.648000002,1.930999994,,1.789999962
06-13-1994,1,6,California,06264705,2,2647,0.816999972,0.935000002,,0.875999987
05-02-1991,1,6,California,06264702,2,2647,1.00999999,0.943000019,,0.976000011
06-10-1994,1,6,California,06125309,1,1253,1.652999997,2.032999992,,1.843000054
05-02-1991,1,6,California,06264702,6,2647,0.93599999,0.952000022,,0.944000006
05-09-1991,1,6,California,06125303,1,1253,1.598999977,1.879999995,,1.738999963
05-09-1991,1,6,California,06125304,4,1253,1.582999945,1.82099998,,1.702000022
04-10-1992,1,6,California,06125305,1,1253,1.600000024,1.914999962,,1.756999969
04-13-1992,1,6,California,06125306,4,1253,1.687999964,1.824000001,,1.756000042
01-29-1990,1,6,California,06200401,3,2004,1.465999961,1.460000038,,1.463000059
02-15-1991,1,6,California,06820102,4,8201,1.269000053,1.376000047,,1.322999954
03-15-1993,1,6,California,06200404,6,2004,1.996999979,2.220000029,,2.10800004
02-20-1991,1,6,California,06200402,3,2004,1.521000028,1.817000031,,1.66900003
04-06-1993,1,6,California,06125308,3,1253,1.629999995,1.870000005,,1.75
12-16-1989,1,6,California,06264701,6,2647,0.885999978,0.906000018,,0.896000028
04-06-1993,1,6,California,06125308,1,1253,1.608999968,1.893000007,,1.751000047
03-11-1992,1,6,California,06820103,2,8201,1.324000001,1.447000027,,1.386000037
